20	0,63	0,79	0,94	1,26	1,57	1,88	2,20	2,36	-	-	-
25	0,79	0,98	1,18	1,57	1,96	2,36	0	2,94	-	-	-
30	0,94	1,18	1,41	1,88	2,36	2,83	-	3,53	3,77	4,24	4,71
35	1,1	1,37	1,65	2,2	2,75	3,30	-	4,12	-	-	5,50
40	1,26	1,57	1,88	2,51	3,14	3,77	-	4,71	5,02	-	6,28
45	-	1,77	2,12	2,83	3,53	-	-	5,30	-	-	-
50	1,57	1,96	2,36	3,14	3,93	4,71	5,50	5,89	6,28	-	7,85
55	-	-	-	-	4,32	-	5,04	-	-	-	-
60	1,88	2,36	2,83	3,77	4,71	5,65	-	7,07	7,54	-	9,42
65	-	2,55	3,06	-	-	-	-	-	-	-	-
70	2,2	2,75	3,30	4,4	5,5	6,59	-	8,24	8,79	-	10,99
80	2,51	3,14	3,77	5,02	6,28	7,53	-	9,42	10,0	-	12,56
90	-	-	4,24	5,65	7,07	8,48	9,89	10,6	11,3	-	14,13
100	3,14	-	4,71	6,28	7,85	9,42	11,0	11,8	12,56	-	15,70
110	-	-	-	-	8,64	10,36	12,09	12,95	13,82	-	-
120	-	-	-	-	9,42	11,30	-	14,13	15,07	-	-
130	-	-	-	8,16	10	12,2	-	15,3	-	-	20,4
140	-	-	6,59	8,79	11	13,2	-	16,5	17,58	-	22
150	-	-	7,07	9,42	12	14,1	-	17,7	18,84	-	23,6
160	-	-	7,54	10	13	15,1	-	18,8	20,1	-	25,1
170	-	-	-	-	14	-	-	-	-	-	-
180	-	-	8,48	11,3	-	17	-	21,2	-	25,43	28,3
190	-	-	-	-	-	17,9	-	-	-	-	-
200	-	-	9,42	12,6	16	18,8	-	23,6	25,12	-	31,4
