25x20	0,99	1,29	1,84				
30x10	0,87	1,13	1,60				
30x15	0,99	1,29	1,84				
30x18	1,06	1,38	1,98				
30x20	1,11	1,44	2,07				
30x25	1,22	1,60	2,31				
34x24	1,30	1,70	2,45				
35x15	1,11	1,44	2,07				
35x20	1,22	1,60	2,31				
35x25	1,34	1,76	2,54				
40x10	1,11	1,44	2,07				
40x15	1,22	1,60	2,31				
40x20	1,34	1,76	2,54				
40x25	1,46	1,92	2,78				
40x27	1,51	1,98	2,87				
40x30	1,58	2,07	3,01				
40x35	1,70	2,23	3,25				
45x15	1,34	1,76	2,54				
45x20	1,46	1,92	2,78				
45x25	1,58	2,07	3,01				
45x30	1,70	2,23	3,25				
45x35	1,81	2,39	3,49				
50x20	1,58	2,07	3,01				
50x25	1,70	2,23	3,25	4,21			
50x30	1,81	2,39	3,49	4,52			
50x35	1,93	2,54	3,72	4,84			
50x40	2,05	2,70	3,96	5,15			
60x20	1,81	2,39	3,49	4,52			
60x25	1,93	2,54	3,72	4,84			
60x30	2,05	2,70	3,96	5,15			
60x35	2,17	2,86	4,19	5,46			
60x40	2,28	3,01	4,43	5,78	7,07	8,29	
60x50	2,52	3,33	4,90	6,41	7,85	9,23	
70x20	2,05	2,70	3,96	5,15	6,28	7,35	
70x25	2,17	2,86	4,19	5,46	6,67	7,82	
70x30	2,28	3,01	4,43	5,78	7,07	8,29	
70x35	2,40	3,17	4,66	6,09	7,46	8,76	
70x40	2,52	3,33	4,90	6,41	7,85	9,23	
70x50	2,76	3,64	5,37	7,03	8,64	10,17	
70x60	2,99	3,96	5,84	7,66	9,42	11,12	
80x20	2,28	3,01	4,43	5,78	7,07	8,29	
80x30	2,52	3,33	4,90	6,41	7,85	9,23	
80x40	2,76	3,64	5,37	7,03	8,64	10,17	
80x50		3,96	5,84	7,66	9,42	11,12	
80x60		4,27	6,31	8,29	10,21	12,06	
80x70		4,58	6,78	8,92	10,99	13,00	
90x20		3,33	4,90	6,41	7,85	9,23	
90x50		4,27	6,31	8,29	10,21	12,06	
90x60		4,58	6,78	8,92	10,99	13,00	
100x20		3,64	5,37	7,03	8,64	10,17	
100x30		3,96	5,84	7,66	9,42	11,12	
100x40		4,27	6,31	8,29	10,21	12,06	
100x50		4,58	6,78	8,92	10,99	13,00	
100x60		4,90	7,25	9,55	11,78	13,94	
100x70		5,21	7,72	10,17	12,56	14,88	
100x80		5,53	8,20	10,80	13,35	15,83	20,60
120x30		4,58	6,78	8,92	10,99	13,00	16,83
120x40		4,90	7,25	9,55	11,78	13,94	18,09
120x50		5,21	7,72	10,17	12,56	14,88	19,34
120x60		5,53	8,20	10,80	13,35	15,83	20,60
120x80		6,15	9,14	12,06	14,92	17,71	23,11
120x100		6,78	10,08	13,31	16,49	19,59	25,62
140x70			9,61	12,69	15,70	18,65	24,37
140x80		6,78	10,08	13,31	16,49	19,59	25,62
140x100		7,41	11,02	14,57	18,06	21,48	28,13
140x120			11,96	15,83	19,63	23,36	30,65
150x50			9,14	12,06	14,92	17,71	23,11
150x60			9,61	12,69	15,70	18,65	24,37
150x100			11,49	15,20	18,84	22,42	29,39
160x80			11,02	14,57	18,06	21,48	28,13
160x100			11,96	15,83	19,63	23,36	30,65
160x120			12,91	17,08	21,20	25,25	33,16
160x140				18,34	22,77	27,13	35,67
180x60			11,02	14,57	18,06	21,48	28,13
180x80				15,83	19,63	23,36	30,65
180x100				17,08	21,20	25,25	33,16
180x120				18,34	22,77	27,13	35,67
200x80				17,08	21,20	25,25	33,16
200x100				18,34	22,77	27,13	35,67
200x120				19,59	24,34	29,01	38,18
200x150				21,48	26,69	31,84	41,95
200x160				22,11	27,48	32,78	43,21
250x100				21,48	26,69	31,84	41,95
250x150					30,62	36,55	48,23
300x100					30,62	36,55	48,23
15x15	0,64	0,82	1,13				
20x20	0,87	1,13	1,60				
25x25	1,11	1,44	2,07				
30x30	1,34	1,76	2,54				
35x35	1,58	2,07	3,01				
40x40	1,81	2,39	3,49	4,52			
45x45	2,05	2,70	3,96	5,15			
50x50	2,28	3,01	4,43	5,78	7,07	8,29	
60x60		3,64	5,37	7,03	8,63	10,17	
70x70		4,27	6,31	8,29	10,21	12,06	
75x75		4,58	6,78	8,92	10,99	13,00	
80x80		4,90	7,25	9,55	11,78	13,94	
90x90		5,53	8,20	10,80	13,35	15,83	20,60
100x100		6,15	9,14	12,06	14,92	17,71	23,11
110x110			10,08	13,31	16,49	19,59	25,62
120x120			11,02	14,57	18,06	21,48	28,13
125x125			11,49	15,20	18,84	22,42	29,39
130x130			11,96	15,83	19,63	23,36	30,65
140x140			12,91	17,08	21,20	25,25	33,16
150x150				18,34	22,77	27,13	35,67
160x160				19,59	24,34	29,01	38,18
180x180				22,11	27,48	32,78	43,21
200x200					30,62	36,55	48,23
